Year,G_Bin,Q_Bin,Count,Ret_Mean,Win_Rate,Profit_Factor,VaR_95,Avg_Days,Status
2018,G6:中增(1~3%),Q2:中低(20-40),138.0,-0.08008804953501762,0.043478260869565216,0.008037571833144222,-0.13750000000000012,23.405797101449274,交易活跃
2018,G6:中增(1~3%),Q3:中位(40-55),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2018,G6:中增(1~3%),Q4:警戒(55-70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2018,G6:中增(1~3%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2018,G7:暴增(>3%),Q1:低位(<20),26.0,-0.10756501182033108,0.0,0.0,-0.10756501182033108,48.0,交易活跃
2018,G7:暴增(>3%),Q2:中低(20-40),70.0,0.0768216799857282,1.0,9.9,0.0656736027071848,19.485714285714284,交易活跃
2018,G7:暴增(>3%),Q3:中位(40-55),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2018,G7:暴增(>3%),Q4:警戒(55-70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2018,G7:暴增(>3%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2019,G1:暴减(<-5%),Q1:低位(<20),130.0,0.2852879370585024,1.0,9.9,0.26094570928196154,19.753846153846155,交易活跃
2019,G1:暴减(<-5%),Q2:中低(20-40),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2019,G1:暴减(<-5%),Q3:中位(40-55),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2019,G1:暴减(<-5%),Q4:警戒(55-70),96.0,0.027691252570691036,1.0,9.9,0.014851485148514976,17.0,交易活跃
2019,G1:暴减(<-5%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2019,G2:大减(-5~-2.5%),Q1:低位(<20),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2019,G2:大减(-5~-2.5%),Q2:中低(20-40),167.0,-0.02934876678737224,0.6047904191616766,0.2829676401510116,-0.1439645625692136,7.317365269461078,交易活跃
2019,G2:大减(-5~-2.5%),Q3:中位(40-55),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2019,G2:大减(-5~-2.5%),Q4:警戒(55-70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2019,G2:大减(-5~-2.5%),Q5:高位(>70),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2019,G3:中减(-2.5~-1.5%),Q1:低位(<20),37.0,-0.051533742331288324,0.0,0.0,-0.05153374233128833,18.0,交易活跃
2019,G3:中减(-2.5~-1.5%),Q2:中低(20-40),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2019,G3:中减(-2.5~-1.5%),Q3:中位(40-55),0.0,0.0,0.0,0.0,0.0,0.0,无信号
2019,G3:中减(-2.5~-1.5%),Q4:警戒(55-70),69.0,0.029303760282021123,1.0,9.9,0.023648648648648594,2.9565217391304346,交易活跃
